2022-10-19 15:55:32.160  INFO 7 --- [qtp786722925-1781] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666166132082-thumbnail.png]
2022-10-19 15:55:32.160  INFO 7 --- [qtp786722925-1781] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666166132082.png] successfully
2022-10-19 16:00:30.611  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666166430611, extension=png, relativePath=upload/2022/10/image-1666166430611.png, basePath=/root/.halo, fullName=image-1666166430611.png, fullPath=/root/.halo/upload/2022/10/image-1666166430611.png, subPath=upload/2022/10)]
2022-10-19 16:00:30.611  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666166430611.png]
2022-10-19 16:00:30.613  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666166430611-thumbnail, extension=png, relativePath=upload/2022/10/image-1666166430611-thumbnail.png, basePath=/root/.halo, fullName=image-1666166430611-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666166430611-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 16:00:30.666  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666166430611-thumbnail.png]
2022-10-19 16:00:30.666  INFO 7 --- [qtp786722925-1755] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666166430611.png] successfully
2022-10-19 16:33:41.789  INFO 7 --- [qtp786722925-1776] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666168421789, extension=png, relativePath=upload/2022/10/image-1666168421789.png, basePath=/root/.halo, fullName=image-1666168421789.png, fullPath=/root/.halo/upload/2022/10/image-1666168421789.png, subPath=upload/2022/10)]
2022-10-19 16:33:41.790  INFO 7 --- [qtp786722925-1776] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666168421789.png]
2022-10-19 16:33:41.791  INFO 7 --- [qtp786722925-1776] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666168421789-thumbnail, extension=png, relativePath=upload/2022/10/image-1666168421789-thumbnail.png, basePath=/root/.halo, fullName=image-1666168421789-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666168421789-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 16:33:41.877  INFO 7 --- [qtp786722925-1776] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666168421789-thumbnail.png]
2022-10-19 16:33:41.877  INFO 7 --- [qtp786722925-1776] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666168421789.png] successfully
